# Please wait, building network...
day_i=0; avg_capital=123809.10; n_ops=25; WIN_ii=21.62; WIN_i!=25.68; WIN_i-=0.00; WIN_!i=28.38; WIN_!!=22.97; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===45.95; WIN_gi=-8.6; WIN_g!=-10.5; WIN_hit_rate=20.0; WIN_capital=123595.0; WIN_n_ops=5; IND_ii=22.97; IND_i!=31.08; IND_i-=0.00; IND_!i=25.68; IND_!!=18.92; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===43.24; IND_gi=-15.0; IND_g!=-15.2; IND_hit_rate=33.3; IND_capital=124534.2; IND_n_ops=3; WDO_ii=13.51; WDO_i!=25.68; WDO_i-=0.00; WDO_!i=29.73; WDO_!!=29.73; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===44.59; WDO_gi=-31.0; WDO_g!=0.0; WDO_hit_rate=25.0; WDO_capital=123381.0; WDO_n_ops=8; DOL_ii=14.86; DOL_i!=28.38; DOL_i-=0.00; DOL_!i=27.03; DOL_!!=28.38; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===44.59; DOL_gi=-31.2; DOL_g!=2.4; DOL_hit_rate=55.6; DOL_capital=123726.2; DOL_n_ops=9; 
day_i=1; avg_capital=123768.93; n_ops=52; WIN_ii=40.54; WIN_i!=27.03; WIN_i-=0.00; WIN_!i=18.92; WIN_!!=10.81; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=1.35; WIN_--=1.35; WIN_===52.70; WIN_gi=20.0; WIN_g!=-27.3; WIN_hit_rate=46.2; WIN_capital=123007.0; WIN_n_ops=13; IND_ii=43.24; IND_i!=25.68; IND_i-=0.00; IND_!i=17.57; IND_!!=12.16; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===56.76; IND_gi=25.5; IND_g!=-18.2; IND_hit_rate=52.4; IND_capital=124839.4; IND_n_ops=21; WDO_ii=16.22; WDO_i!=13.51; WDO_i-=0.00; WDO_!i=25.68; WDO_!!=43.24; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===60.81; WDO_gi=9.1; WDO_g!=25.5; WDO_hit_rate=54.5; WDO_capital=124539.5; WDO_n_ops=11; DOL_ii=14.86; DOL_i!=21.62; DOL_i-=0.00; DOL_!i=31.08; DOL_!!=31.08; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===47.30; DOL_gi=-18.5; DOL_g!=0.0; DOL_hit_rate=28.6; DOL_capital=122689.8; DOL_n_ops=7; 
day_i=2; avg_capital=124152.44; n_ops=51; WIN_ii=25.68; WIN_i!=21.62; WIN_i-=0.00; WIN_!i=28.38; WIN_!!=22.97; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===50.00; WIN_gi=8.6; WIN_g!=-10.5; WIN_hit_rate=53.3; WIN_capital=126435.0; WIN_n_ops=15; IND_ii=31.08; IND_i!=20.27; IND_i-=0.00; IND_!i=25.68; IND_!!=21.62; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===54.05; IND_gi=21.1; IND_g!=-8.6; IND_hit_rate=58.3; IND_capital=126123.6; IND_n_ops=24; WDO_ii=10.81; WDO_i!=25.68; WDO_i-=0.00; WDO_!i=31.08; WDO_!!=31.08; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===43.24; WDO_gi=-40.7; WDO_g!=0.0; WDO_hit_rate=33.3; WDO_capital=122067.0; WDO_n_ops=6; DOL_ii=10.81; DOL_i!=28.38; DOL_i-=0.00; DOL_!i=29.73; DOL_!!=29.73; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===41.89; DOL_gi=-44.8; DOL_g!=0.0; DOL_hit_rate=33.3; DOL_capital=121984.1; DOL_n_ops=6; 
day_i=3; avg_capital=124374.87; n_ops=19; WIN_ii=22.54; WIN_i!=26.76; WIN_i-=0.00; WIN_!i=19.72; WIN_!!=29.58; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.41; WIN_===53.52; WIN_gi=-8.6; WIN_g!=20.0; WIN_hit_rate=50.0; WIN_capital=124628.0; WIN_n_ops=2; IND_ii=21.13; IND_i!=25.35; IND_i-=0.00; IND_!i=22.54; IND_!!=29.58; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.41; IND_===52.11; IND_gi=-9.1; IND_g!=13.5; IND_hit_rate=25.0; IND_capital=123045.6; IND_n_ops=4; WDO_ii=18.31; WDO_i!=18.31; WDO_i-=0.00; WDO_!i=25.35; WDO_!!=36.62; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.41; WDO_===56.34; WDO_gi=0.0; WDO_g!=18.2; WDO_hit_rate=45.5; WDO_capital=125789.5; WDO_n_ops=11; DOL_ii=15.49; DOL_i!=21.13; DOL_i-=0.00; DOL_!i=23.94; DOL_!!=38.03; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.41; DOL_===54.93; DOL_gi=-15.4; DOL_g!=22.7; DOL_hit_rate=0.0; DOL_capital=124036.4; DOL_n_ops=2; 
day_i=4; avg_capital=124206.80; n_ops=31; WIN_ii=8.11; WIN_i!=18.92; WIN_i-=0.00; WIN_!i=32.43; WIN_!!=39.19; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===48.65; WIN_gi=-40.0; WIN_g!=9.4; WIN_hit_rate=60.0; WIN_capital=125045.0; WIN_n_ops=5; IND_ii=13.51; IND_i!=18.92; IND_i-=0.00; IND_!i=25.68; IND_!!=40.54; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===55.41; IND_gi=-16.7; IND_g!=22.4; IND_hit_rate=33.3; IND_capital=124202.6; IND_n_ops=9; WDO_ii=20.27; WDO_i!=24.32; WDO_i-=0.00; WDO_!i=24.32; WDO_!!=29.73; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===51.35; WDO_gi=-9.1; WDO_g!=10.0; WDO_hit_rate=50.0; WDO_capital=125817.0; WDO_n_ops=6; DOL_ii=24.32; DOL_i!=28.38; DOL_i-=0.00; DOL_!i=22.97; DOL_!!=22.97; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===48.65; DOL_gi=-7.7; DOL_g!=0.0; DOL_hit_rate=45.5; DOL_capital=121762.6; DOL_n_ops=11; 
day_i=5; avg_capital=123486.44; n_ops=15; WIN_ii=16.22; WIN_i!=22.97; WIN_i-=0.00; WIN_!i=21.62; WIN_!!=37.84; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===55.41; WIN_gi=-17.2; WIN_g!=27.3; WIN_hit_rate=0.0; WIN_capital=123367.0; WIN_n_ops=3; IND_ii=13.51; IND_i!=25.68; IND_i-=0.00; IND_!i=27.03; IND_!!=32.43; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===47.30; IND_gi=-31.0; IND_g!=9.1; IND_hit_rate=--; IND_capital=125000.0; IND_n_ops=0; WDO_ii=18.92; WDO_i!=20.27; WDO_i-=0.00; WDO_!i=31.08; WDO_!!=28.38; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===48.65; WDO_gi=-3.4; WDO_g!=-4.5; WDO_hit_rate=25.0; WDO_capital=121256.0; WDO_n_ops=8; DOL_ii=14.86; DOL_i!=24.32; DOL_i-=0.00; DOL_!i=33.78; DOL_!!=25.68; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===41.89; DOL_gi=-24.1; DOL_g!=-13.6; DOL_hit_rate=25.0; DOL_capital=124322.8; DOL_n_ops=4; 
day_i=6; avg_capital=123437.57; n_ops=21; WIN_ii=12.86; WIN_i!=18.57; WIN_i-=0.00; WIN_!i=30.00; WIN_!!=37.14; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.43; WIN_===51.43; WIN_gi=-18.2; WIN_g!=10.6; WIN_hit_rate=57.1; WIN_capital=124923.0; WIN_n_ops=7; IND_ii=12.86; IND_i!=27.14; IND_i-=0.00; IND_!i=27.14; IND_!!=31.43; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.43; IND_===45.71; IND_gi=-35.7; IND_g!=7.3; IND_hit_rate=20.0; IND_capital=122657.0; IND_n_ops=5; WDO_ii=12.86; WDO_i!=18.57; WDO_i-=0.00; WDO_!i=24.29; WDO_!!=42.86; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.43; WDO_===57.14; WDO_gi=-18.2; WDO_g!=27.7; WDO_hit_rate=40.0; WDO_capital=122222.5; WDO_n_ops=5; DOL_ii=12.86; DOL_i!=21.43; DOL_i-=0.00; DOL_!i=21.43; DOL_!!=42.86; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.43; DOL_===57.14; DOL_gi=-25.0; DOL_g!=33.3; DOL_hit_rate=25.0; DOL_capital=123947.8; DOL_n_ops=4; 
day_i=7; avg_capital=122464.31; n_ops=30; WIN_ii=17.81; WIN_i!=30.14; WIN_i-=0.00; WIN_!i=20.55; WIN_!!=30.14; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.37; WIN_===49.32; WIN_gi=-25.7; WIN_g!=18.9; WIN_hit_rate=20.0; WIN_capital=122895.0; WIN_n_ops=5; IND_ii=20.55; IND_i!=24.66; IND_i-=0.00; IND_!i=19.18; IND_!!=34.25; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.37; IND_===56.16; IND_gi=-9.1; IND_g!=28.2; IND_hit_rate=12.5; IND_capital=122841.2; IND_n_ops=8; WDO_ii=19.18; WDO_i!=19.18; WDO_i-=0.00; WDO_!i=30.14; WDO_!!=30.14; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.37; WDO_===50.68; WDO_gi=0.0; WDO_g!=0.0; WDO_hit_rate=33.3; WDO_capital=120225.5; WDO_n_ops=9; DOL_ii=19.18; DOL_i!=24.66; DOL_i-=0.00; DOL_!i=28.77; DOL_!!=26.03; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.37; DOL_===46.58; DOL_gi=-12.5; DOL_g!=-5.0; DOL_hit_rate=50.0; DOL_capital=123895.5; DOL_n_ops=8; 
day_i=8; avg_capital=124540.76; n_ops=21; WIN_ii=10.81; WIN_i!=31.08; WIN_i-=0.00; WIN_!i=31.08; WIN_!!=25.68; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===37.84; WIN_gi=-48.4; WIN_g!=-9.5; WIN_hit_rate=0.0; WIN_capital=124589.0; WIN_n_ops=1; IND_ii=13.51; IND_i!=31.08; IND_i-=0.00; IND_!i=29.73; IND_!!=24.32; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===39.19; IND_gi=-39.4; IND_g!=-10.0; IND_hit_rate=0.0; IND_capital=124861.4; IND_n_ops=1; WDO_ii=27.03; WDO_i!=18.92; WDO_i-=0.00; WDO_!i=21.62; WDO_!!=31.08; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===59.46; WDO_gi=17.6; WDO_g!=17.9; WDO_hit_rate=38.5; WDO_capital=125478.5; WDO_n_ops=13; DOL_ii=14.86; DOL_i!=27.03; DOL_i-=0.00; DOL_!i=29.73; DOL_!!=27.03; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===43.24; DOL_gi=-29.0; DOL_g!=-4.8; DOL_hit_rate=16.7; DOL_capital=123234.1; DOL_n_ops=6; 
day_i=9; avg_capital=128227.75; n_ops=28; WIN_ii=5.41; WIN_i!=16.22; WIN_i-=0.00; WIN_!i=33.78; WIN_!!=43.24; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===50.00; WIN_gi=-50.0; WIN_g!=12.3; WIN_hit_rate=--; WIN_capital=125000.0; WIN_n_ops=0; IND_ii=5.41; IND_i!=13.51; IND_i-=1.35; IND_!i=32.43; IND_!!=44.59; IND_!-=1.35; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===51.35; IND_gi=-42.2; IND_g!=14.9; IND_hit_rate=0.0; IND_capital=124511.4; IND_n_ops=1; WDO_ii=29.73; WDO_i!=31.08; WDO_i-=0.00; WDO_!i=17.57; WDO_!!=20.27; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===51.35; WDO_gi=-2.2; WDO_g!=7.1; WDO_hit_rate=62.5; WDO_capital=132262.0; WDO_n_ops=16; DOL_ii=27.03; DOL_i!=31.08; DOL_i-=0.00; DOL_!i=17.57; DOL_!!=22.97; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===51.35; DOL_gi=-7.0; DOL_g!=13.3; DOL_hit_rate=54.5; DOL_capital=131137.6; DOL_n_ops=11; 
day_i=10; avg_capital=129147.51; n_ops=62; WIN_ii=29.73; WIN_i!=20.27; WIN_i-=0.00; WIN_!i=27.03; WIN_!!=21.62; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===52.70; WIN_gi=18.9; WIN_g!=-11.1; WIN_hit_rate=72.7; WIN_capital=133408.0; WIN_n_ops=22; IND_ii=22.97; IND_i!=20.27; IND_i-=0.00; IND_!i=31.08; IND_!!=24.32; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===48.65; IND_gi=6.2; IND_g!=-12.2; IND_hit_rate=75.0; IND_capital=131732.4; IND_n_ops=16; WDO_ii=17.57; WDO_i!=20.27; WDO_i-=0.00; WDO_!i=22.97; WDO_!!=37.84; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===56.76; WDO_gi=-7.1; WDO_g!=24.4; WDO_hit_rate=50.0; WDO_capital=128820.0; WDO_n_ops=10; DOL_ii=22.97; DOL_i!=17.57; DOL_i-=0.00; DOL_!i=24.32; DOL_!!=33.78; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===58.11; DOL_gi=13.3; DOL_g!=16.3; DOL_hit_rate=57.1; DOL_capital=122629.7; DOL_n_ops=14; 
day_i=11; avg_capital=127528.77; n_ops=68; WIN_ii=45.95; WIN_i!=28.38; WIN_i-=0.00; WIN_!i=14.86; WIN_!!=9.46; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===56.76; WIN_gi=23.6; WIN_g!=-22.2; WIN_hit_rate=50.0; WIN_capital=129264.0; WIN_n_ops=26; IND_ii=37.84; IND_i!=25.68; IND_i-=2.70; IND_!i=21.62; IND_!!=9.46; IND_!-=0.00; IND_-i=1.35; IND_-!=0.00; IND_--=1.35; IND_===48.65; IND_gi=17.0; IND_g!=-39.1; IND_hit_rate=57.1; IND_capital=127259.6; IND_n_ops=14; WDO_ii=24.32; WDO_i!=21.62; WDO_i-=0.00; WDO_!i=21.62; WDO_!!=28.38; WDO_!-=2.70; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===54.05; WDO_gi=5.9; WDO_g!=11.1; WDO_hit_rate=46.7; WDO_capital=121542.5; WDO_n_ops=15; DOL_ii=18.92; DOL_i!=17.57; DOL_i-=0.00; DOL_!i=24.32; DOL_!!=33.78; DOL_!-=2.70; DOL_-i=0.00; DOL_-!=1.35; DOL_--=1.35; DOL_===54.05; DOL_gi=3.7; DOL_g!=14.1; DOL_hit_rate=53.8; DOL_capital=132049.0; DOL_n_ops=13; 
day_i=12; avg_capital=120076.94; n_ops=38; WIN_ii=33.78; WIN_i!=33.78; WIN_i-=0.00; WIN_!i=16.22; WIN_!!=14.86; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===50.00; WIN_gi=0.0; WIN_g!=-4.3; WIN_hit_rate=20.0; WIN_capital=117735.0; WIN_n_ops=15; IND_ii=28.38; IND_i!=35.14; IND_i-=0.00; IND_!i=21.62; IND_!!=13.51; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===43.24; IND_gi=-10.6; IND_g!=-23.1; IND_hit_rate=14.3; IND_capital=119379.8; IND_n_ops=7; WDO_ii=25.68; WDO_i!=22.97; WDO_i-=0.00; WDO_!i=16.22; WDO_!!=33.78; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===60.81; WDO_gi=5.6; WDO_g!=35.1; WDO_hit_rate=54.5; WDO_capital=122789.5; WDO_n_ops=11; DOL_ii=16.22; DOL_i!=25.68; DOL_i-=0.00; DOL_!i=21.62; DOL_!!=35.14; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===52.70; DOL_gi=-22.6; DOL_g!=23.8; DOL_hit_rate=20.0; DOL_capital=120403.4; DOL_n_ops=5; 
day_i=13; avg_capital=125602.58; n_ops=22; WIN_ii=12.16; WIN_i!=18.92; WIN_i-=0.00; WIN_!i=28.38; WIN_!!=39.19; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===52.70; WIN_gi=-21.7; WIN_g!=16.0; WIN_hit_rate=25.0; WIN_capital=124806.0; WIN_n_ops=4; IND_ii=0.00; IND_i!=0.00; IND_i-=0.00; IND_!i=0.00; IND_!!=0.00; IND_!-=1.35; IND_-i=0.00; IND_-!=0.00; IND_--=98.65; IND_===98.65; IND_gi=0.0; IND_g!=-33.3; IND_hit_rate=--; IND_capital=125000.0; IND_n_ops=0; WDO_ii=24.32; WDO_i!=21.62; WDO_i-=0.00; WDO_!i=22.97; WDO_!!=29.73; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===55.41; WDO_gi=5.9; WDO_g!=12.8; WDO_hit_rate=54.5; WDO_capital=126664.5; WDO_n_ops=11; DOL_ii=22.97; DOL_i!=25.68; DOL_i-=0.00; DOL_!i=22.97; DOL_!!=27.03; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===51.35; DOL_gi=-5.6; DOL_g!=8.1; DOL_hit_rate=42.9; DOL_capital=125939.8; DOL_n_ops=7; 
day_i=14; avg_capital=124442.33; n_ops=18; WIN_ii=9.46; WIN_i!=21.62; WIN_i-=0.00; WIN_!i=27.03; WIN_!!=40.54; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=1.35; WIN_===51.35; WIN_gi=-39.1; WIN_g!=20.0; WIN_hit_rate=--; WIN_capital=125000.0; WIN_n_ops=0; IND_ii=12.16; IND_i!=14.86; IND_i-=0.00; IND_!i=24.32; IND_!!=47.30; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=1.35; IND_===60.81; IND_gi=-10.0; IND_g!=32.1; IND_hit_rate=0.0; IND_capital=123195.6; IND_n_ops=4; WDO_ii=10.81; WDO_i!=13.51; WDO_i-=0.00; WDO_!i=28.38; WDO_!!=45.95; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=1.35; WDO_===58.11; WDO_gi=-11.1; WDO_g!=23.6; WDO_hit_rate=40.0; WDO_capital=123347.5; WDO_n_ops=5; DOL_ii=18.92; DOL_i!=16.22; DOL_i-=0.00; DOL_!i=18.92; DOL_!!=44.59; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=1.35; DOL_===64.86; DOL_gi=7.7; DOL_g!=40.4; DOL_hit_rate=55.6; DOL_capital=126226.2; DOL_n_ops=9; 
